Memory (Hex),Owner,Data Name,Data Format,Explanation,Device,Code_Property,Modbus_Register,EQ_Name,,,,,,,Memory Type _ 1,Memory Address,
X0078,EQP,,Boolean,,PORT1,,9,QV,,,,,,,X,120,X78
X0079,EQP,,Boolean,,PORT1,,10,QV,,,,,,,X,121,X79
X007A,EQP,,Boolean,,PORT1,,11,QV,,,,,,,X,122,X7A
X007B,EQP,,Boolean,,PORT1,,12,QV,,,,,,,X,123,X7B
X007C,EQP,,Boolean,,PORT1,,13,QV,,,,,,,X,124,X7C
X007D,EQP,,Boolean,,PORT1,,14,QV,,,,,,,X,125,X7D
X007E,EQP,,Boolean,,PORT1,,15,QV,,,,,,,X,126,X7E
X007F,EQP,,Boolean,,PORT1,,16,QV,,,,,,,X,127,X7F
X0080,EQP,Load Request ,Boolean,,PORT2,Load_Request,1,QV,,,,,,,X,128,X80
X0081,EQP,Unload Request,Boolean,,PORT2,Unload_Request,2,QV,,,,,,,X,129,X81
X0082,EQP,Port Exist,Boolean,,PORT2,Port_Exist,3,QV,,,,,,,X,130,X82
X0083,EQP,UP_POS,Boolean,,PORT2,LD_UP_POS,4,QV,,,,,,,X,131,X83
X0084,EQP,DOWN_POS,Boolean,,PORT2,LD_DOWN_POS,5,QV,,,,,,,X,132,X84
X0085,EQP,EQP Status Down,Boolean,,PORT2,Port_Status_Down,6,QV,,,,,,,X,133,X85
X0086,EQP,EQP_Parts_Replacement,Boolean,,PORT2,EQP_Parts_Replacement,7,QV,,,,,,,X,134,X86
X0087,EQP,EQP_Maintaining,Boolean,,PORT2,EQP_Maintaining,8,QV,,,,,,,X,135,X87
X0088,EQP,,Boolean,,PORT2,,9,QV,,,,,,,X,136,X88
X0089,EQP,,Boolean,,PORT2,,10,QV,,,,,,,X,137,X89
X008A,EQP,,Boolean,,PORT2,,11,QV,,,,,,,X,138,X8A
X008B,EQP,,Boolean,,PORT2,,12,QV,,,,,,,X,139,X8B
X008C,EQP,,Boolean,,PORT2,,13,QV,,,,,,,X,140,X8C
X008D,EQP,,Boolean,,PORT2,,14,QV,,,,,,,X,141,X8D
X008E,EQP,,Boolean,,PORT2,,15,QV,,,,,,,X,142,X8E
X008F,EQP,,Boolean,,PORT2,,16,QV,,,,,,,X,143,X8F
X0090,EQP,Load Request ,Boolean,,PORT1,Load_Request,1,AOI_1,,,,,,,X,144,X90
X0091,EQP,Unload Request,Boolean,,PORT1,Unload_Request,2,AOI_1,,,,,,,X,145,X91
X0092,EQP,Port Exist,Boolean,,PORT1,Port_Exist,3,AOI_1,,,,,,,X,146,X92
X0093,EQP,UP_POS,Boolean,,PORT1,LD_UP_POS,4,AOI_1,,,,,,,X,147,X93
X0094,EQP,DOWN_POS,Boolean,,PORT1,LD_DOWN_POS,5,AOI_1,,,,,,,X,148,X94
X0095,EQP,EQP Status Down,Boolean,,PORT1,Port_Status_Down,6,AOI_1,,,,,,,X,149,X95
X0096,EQP,EQP_Parts_Replacement,Boolean,,PORT1,EQP_Parts_Replacement,7,AOI_1,,,,,,,X,150,X96
X0097,EQP,EQP_Maintaining,Boolean,,PORT1,EQP_Maintaining,8,AOI_1,,,,,,,X,151,X97
X0098,EQP,,Boolean,,PORT1,,9,AOI_1,,,,,,,X,152,X98
X0099,EQP,,Boolean,,PORT1,,10,AOI_1,,,,,,,X,153,X99
X009A,EQP,,Boolean,,PORT1,,11,AOI_1,,,,,,,X,154,X9A
X009B,EQP,,Boolean,,PORT1,,12,AOI_1,,,,,,,X,155,X9B
