MemoY (Hex),Owner,Data Name,Data Format,Explanation,Device,Code_Property,Modbus_Register,EQ_Name,,,,,,,MemoY Type _ 1,MemoY Address,
Y0060,AGVS,To EQ Up,Boolean,,PORT2,To_EQ_Up,1,STK,,,,,,,Y,96,Y0060
Y0061,AGVS,To EQ Low,Boolean,,PORT2,To_EQ_Low,2,STK,,,,,,,Y,97,Y0061
Y0062,AGVS,CMD reserve Up,Boolean,,PORT2,CMD_reserve_Up,3,STK,,,,,,,Y,98,Y0062
Y0063,AGVS,CMD reserve Low,Boolean,,PORT2,CMD_reserve_Low,4,STK,,,,,,,Y,99,Y0063
Y0064,AGVS,,Boolean,,PORT2,,5,STK,,,,,,,Y,100,Y0064
Y0065,AGVS,,Boolean,,PORT2,,6,STK,,,,,,,Y,101,Y0065
Y0066,AGVS,,Boolean,,PORT2,,7,STK,,,,,,,Y,102,Y0066
Y0067,AGVS,,Boolean,,PORT2,,8,STK,,,,,,,Y,103,Y0067
Y0068,AGVS,,Boolean,,PORT2,,9,STK,,,,,,,Y,104,Y0068
Y0069,AGVS,,Boolean,,PORT2,,10,STK,,,,,,,Y,105,Y0069
Y006A,AGVS,,Boolean,,PORT2,,11,STK,,,,,,,Y,106,Y006A
Y006B,AGVS,,Boolean,,PORT2,,12,STK,,,,,,,Y,107,Y006B
Y006C,AGVS,,Boolean,,PORT2,,13,STK,,,,,,,Y,108,Y006C
Y006D,AGVS,,Boolean,,PORT2,,14,STK,,,,,,,Y,109,Y006D
Y006E,AGVS,,Boolean,,PORT2,,15,STK,,,,,,,Y,110,Y006E
Y006F,AGVS,,Boolean,,PORT2,,16,STK,,,,,,,Y,111,Y006F
Y0070,AGVS,To EQ Up,Boolean,,PORT1,To_EQ_Up,1,QV,,,,,,,Y,112,Y0070
Y0071,AGVS,To EQ Low,Boolean,,PORT1,To_EQ_Low,2,QV,,,,,,,Y,113,Y0071
Y0072,AGVS,CMD reserve Up,Boolean,,PORT1,CMD_reserve_Up,3,QV,,,,,,,Y,114,Y0072
Y0073,AGVS,CMD reserve Low,Boolean,,PORT1,CMD_reserve_Low,4,QV,,,,,,,Y,115,Y0073
Y0074,AGVS,,Boolean,,PORT1,,5,QV,,,,,,,Y,116,Y0074
Y0075,AGVS,,Boolean,,PORT1,,6,QV,,,,,,,Y,117,Y0075
Y0076,AGVS,,Boolean,,PORT1,,7,QV,,,,,,,Y,118,Y0076
Y0077,AGVS,,Boolean,,PORT1,,8,QV,,,,,,,Y,119,Y0077
Y0078,AGVS,,Boolean,,PORT1,,9,QV,,,,,,,Y,120,Y0078
Y0079,AGVS,,Boolean,,PORT1,,10,QV,,,,,,,Y,121,Y0079
Y007A,AGVS,,Boolean,,PORT1,,11,QV,,,,,,,Y,122,Y007A
Y007B,AGVS,,Boolean,,PORT1,,12,QV,,,,,,,Y,123,Y007B
Y007C,AGVS,,Boolean,,PORT1,,13,QV,,,,,,,Y,124,Y007C
Y007D,AGVS,,Boolean,,PORT1,,14,QV,,,,,,,Y,125,Y007D
Y007E,AGVS,,Boolean,,PORT1,,15,QV,,,,,,,Y,126,Y007E
Y007F,AGVS,,Boolean,,PORT1,,16,QV,,,,,,,Y,127,Y007F
Y0080,AGVS,To EQ Up,Boolean,,PORT2,To_EQ_Up,1,QV,,,,,,,Y,128,Y0080
Y0081,AGVS,To EQ Low,Boolean,,PORT2,To_EQ_Low,2,QV,,,,,,,Y,129,Y0081
Y0082,AGVS,CMD reserve Up,Boolean,,PORT2,CMD_reserve_Up,3,QV,,,,,,,Y,130,Y0082
Y0083,AGVS,CMD reserve Low,Boolean,,PORT2,CMD_reserve_Low,4,QV,,,,,,,Y,131,Y0083
Y0084,AGVS,,Boolean,,PORT2,,5,QV,,,,,,,Y,132,Y0084
Y0085,AGVS,,Boolean,,PORT2,,6,QV,,,,,,,Y,133,Y0085
Y0086,AGVS,,Boolean,,PORT2,,7,QV,,,,,,,Y,134,Y0086
Y0087,AGVS,,Boolean,,PORT2,,8,QV,,,,,,,Y,135,Y0087
Y0088,AGVS,,Boolean,,PORT2,,9,QV,,,,,,,Y,136,Y0088
Y0089,AGVS,,Boolean,,PORT2,,10,QV,,,,,,,Y,137,Y0089
Y008A,AGVS,,Boolean,,PORT2,,11,QV,,,,,,,Y,138,Y008A
Y008B,AGVS,,Boolean,,PORT2,,12,QV,,,,,,,Y,139,Y008B
Y008C,AGVS,,Boolean,,PORT2,,13,QV,,,,,,,Y,140,Y008C
Y008D,AGVS,,Boolean,,PORT2,,14,QV,,,,,,,Y,141,Y008D
