Memory (Hex),Owner,Data Name,Data Format,Explanation,Device,Code_Property,Modbus_Register,EQ_NAME,,,,,,,
WW0061,AGVS,MCS Message # 7,ASCII,6.4.2 MCS Message Display,AGVS,,152,TS_1,,,,,WW00,97,WW0061
WW0062,AGVS,MCS Message # 8,ASCII,6.4.2 MCS Message Display,AGVS,,153,TS_1,,,,,WW00,98,WW0062
WW0063,AGVS,MCS Message # 9,ASCII,6.4.2 MCS Message Display,AGVS,,154,TS_1,,,,,WW00,99,WW0063
WW0064,AGVS,MCS Message # 10,ASCII,6.4.2 MCS Message Display,AGVS,,155,TS_1,,,,,WW00,100,WW0064
WW0065,AGVS,MCS Message # 11,ASCII,6.4.2 MCS Message Display,AGVS,,156,TS_1,,,,,WW00,101,WW0065
WW0066,AGVS,MCS Message # 12,ASCII,6.4.2 MCS Message Display,AGVS,,157,TS_1,,,,,WW00,102,WW0066
WW0067,AGVS,MCS Message # 13,ASCII,6.4.2 MCS Message Display,AGVS,,158,TS_1,,,,,WW00,103,WW0067
WW0068,AGVS,MCS Message # 14,ASCII,6.4.2 MCS Message Display,AGVS,,159,TS_1,,,,,WW00,104,WW0068
WW0069,AGVS,MCS Message # 15,ASCII,6.4.2 MCS Message Display,AGVS,,160,TS_1,,,,,WW00,105,WW0069
WW006A,AGVS,MCS Message # 16,ASCII,6.4.2 MCS Message Display,AGVS,,161,TS_1,,,,,WW00,106,WW006A
WW006B,AGVS,MCS Message # 17,ASCII,6.4.2 MCS Message Display,AGVS,,162,TS_1,,,,,WW00,107,WW006B
WW006C,AGVS,MCS Message # 18,ASCII,6.4.2 MCS Message Display,AGVS,,163,TS_1,,,,,WW00,108,WW006C
WW006D,AGVS,MCS Message # 19,ASCII,6.4.2 MCS Message Display,AGVS,,164,TS_1,,,,,WW00,109,WW006D
WW006E,AGVS,MCS Message # 20,ASCII,6.4.2 MCS Message Display,AGVS,,165,TS_1,,,,,WW00,110,WW006E
WW006F,AGVS,MCS Message # 21,ASCII,6.4.2 MCS Message Display,AGVS,,166,TS_1,,,,,WW00,111,WW006F
WW0070,AGVS,MCS Message # 22,ASCII,6.4.2 MCS Message Display,AGVS,,167,TS_1,,,,,WW00,112,WW0070
WW0071,AGVS,MCS Message # 23,ASCII,6.4.2 MCS Message Display,AGVS,,168,TS_1,,,,,WW00,113,WW0071
WW0072,AGVS,MCS Message # 24,ASCII,6.4.2 MCS Message Display,AGVS,,169,TS_1,,,,,WW00,114,WW0072
WW0073,AGVS,MCS Message # 25,ASCII,6.4.2 MCS Message Display,AGVS,,170,TS_1,,,,,WW00,115,WW0073
WW0074,AGVS,MCS Message # 26,ASCII,6.4.2 MCS Message Display,AGVS,,171,TS_1,,,,,WW00,116,WW0074
WW0075,AGVS,MCS Message # 27,ASCII,6.4.2 MCS Message Display,AGVS,,172,TS_1,,,,,WW00,117,WW0075
WW0076,AGVS,MCS Message # 28,ASCII,6.4.2 MCS Message Display,AGVS,,173,TS_1,,,,,WW00,118,WW0076
WW0077,AGVS,MCS Message # 29,ASCII,6.4.2 MCS Message Display,AGVS,,174,TS_1,,,,,WW00,119,WW0077
WW0078,AGVS,MCS Message # 30,ASCII,6.4.2 MCS Message Display,AGVS,,175,TS_1,,,,,WW00,120,WW0078
WW0079,AGVS,MCS Message # 31,ASCII,6.4.2 MCS Message Display,AGVS,,176,TS_1,,,,,WW00,121,WW0079
WW007A,AGVS,MCS Message # 32,ASCII,6.4.2 MCS Message Display,AGVS,,177,TS_1,,,,,WW00,122,WW007A
WW007B,AGVS,MCS Message # 33,ASCII,6.4.2 MCS Message Display,AGVS,,178,TS_1,,,,,WW00,123,WW007B
WW007C,AGVS,MCS Message # 34,ASCII,6.4.2 MCS Message Display,AGVS,,179,TS_1,,,,,WW00,124,WW007C
WW007D,AGVS,MCS Message # 35,ASCII,6.4.2 MCS Message Display,AGVS,,180,TS_1,,,,,WW00,125,WW007D
WW007E,AGVS,MCS Message # 36,ASCII,6.4.2 MCS Message Display,AGVS,,181,TS_1,,,,,WW00,126,WW007E
WW007F,AGVS,MCS Message # 37,ASCII,6.4.2 MCS Message Display,AGVS,,182,TS_1,,,,,WW00,127,WW007F
WW0080,AGVS,MCS Message # 38,ASCII,6.4.2 MCS Message Display,AGVS,,183,TS_1,,,,,WW00,128,WW0080
WW0081,AGVS,MCS Message # 39,ASCII,6.4.2 MCS Message Display,AGVS,,184,TS_1,,,,,WW00,129,WW0081
WW0082,AGVS,MCS Message # 40,ASCII,6.4.2 MCS Message Display,AGVS,,185,TS_1,,,,,WW00,130,WW0082
WW0083,AGVS,MCS Message # 41,ASCII,6.4.2 MCS Message Display,AGVS,,186,TS_1,,,,,WW00,131,WW0083
WW0084,AGVS,MCS Message # 42,ASCII,6.4.2 MCS Message Display,AGVS,,187,TS_1,,,,,WW00,132,WW0084
WW0085,AGVS,MCS Message # 43,ASCII,6.4.2 MCS Message Display,AGVS,,188,TS_1,,,,,WW00,133,WW0085
WW0086,AGVS,MCS Message # 44,ASCII,6.4.2 MCS Message Display,AGVS,,189,TS_1,,,,,WW00,134,WW0086
WW0087,AGVS,MCS Message # 45,ASCII,6.4.2 MCS Message Display,AGVS,,190,TS_1,,,,,WW00,135,WW0087
WW0088,AGVS,MCS Message # 46,ASCII,6.4.2 MCS Message Display,AGVS,,191,TS_1,,,,,WW00,136,WW0088
WW0089,AGVS,MCS Message # 47,ASCII,6.4.2 MCS Message Display,AGVS,,192,TS_1,,,,,WW00,137,WW0089
WW008A,AGVS,MCS Message # 48,ASCII,6.4.2 MCS Message Display,AGVS,,193,TS_1,,,,,WW00,138,WW008A
WW008B,AGVS,MCS Message # 49,ASCII,6.4.2 MCS Message Display,AGVS,,194,TS_1,,,,,WW00,139,WW008B
WW008C,AGVS,MCS Message # 50,ASCII,6.4.2 MCS Message Display,AGVS,,195,TS_1,,,,,WW00,140,WW008C
WW008D,AGVS,MCS Message # 51,ASCII,6.4.2 MCS Message Display,AGVS,,196,TS_1,,,,,WW00,141,WW008D
WW008E,AGVS,MCS Message # 52,ASCII,6.4.2 MCS Message Display,AGVS,,197,TS_1,,,,,WW00,142,WW008E
WW008F,AGVS,MCS Message # 53,ASCII,6.4.2 MCS Message Display,AGVS,,198,TS_1,,,,,WW00,143,WW008F
WW0090,AGVS,MCS Message # 54,ASCII,6.4.2 MCS Message Display,AGVS,,199,TS_1,,,,,WW00,144,WW0090
WW0091,AGVS,MCS Message # 55,ASCII,6.4.2 MCS Message Display,AGVS,,200,TS_1,,,,,WW00,145,WW0091
WW0092,AGVS,MCS Message # 56,ASCII,6.4.2 MCS Message Display,AGVS,,201,TS_1,,,,,WW00,146,WW0092
WW0093,AGVS,MCS Message # 57,ASCII,6.4.2 MCS Message Display,AGVS,,202,TS_1,,,,,WW00,147,WW0093
WW0094,AGVS,MCS Message # 58,ASCII,6.4.2 MCS Message Display,AGVS,,203,TS_1,,,,,WW00,148,WW0094
WW0095,AGVS,MCS Message # 59,ASCII,6.4.2 MCS Message Display,AGVS,,204,TS_1,,,,,WW00,149,WW0095
WW0096,AGVS,MCS Message # 60,ASCII,6.4.2 MCS Message Display,AGVS,,205,TS_1,,,,,WW00,150,WW0096
WW0097,AGVS,MCS Message # 61,ASCII,6.4.2 MCS Message Display,AGVS,,206,TS_1,,,,,WW00,151,WW0097
WW0098,AGVS,MCS Message # 62,ASCII,6.4.2 MCS Message Display,AGVS,,207,TS_1,,,,,WW00,152,WW0098
WW0099,AGVS,MCS Message # 63,ASCII,6.4.2 MCS Message Display,AGVS,,208,TS_1,,,,,WW00,153,WW0099
WW009A,AGVS,MCS Message # 64,ASCII,6.4.2 MCS Message Display,AGVS,,209,TS_1,,,,,WW00,154,WW009A
WW009B,AGVS,MCS Message # 65,ASCII,6.4.2 MCS Message Display,AGVS,,210,TS_1,,,,,WW00,155,WW009B
WW009C,AGVS,MCS Message # 66,ASCII,6.4.2 MCS Message Display,AGVS,,211,TS_1,,,,,WW00,156,WW009C
WW009D,AGVS,MCS Message # 67,ASCII,6.4.2 MCS Message Display,AGVS,,212,TS_1,,,,,WW00,157,WW009D
WW009E,AGVS,MCS Message # 68,ASCII,6.4.2 MCS Message Display,AGVS,,213,TS_1,,,,,WW00,158,WW009E
WW009F,AGVS,MCS Message # 69,ASCII,6.4.2 MCS Message Display,AGVS,,214,TS_1,,,,,WW00,159,WW009F
WW00A0,AGVS,MCS Message # 70,ASCII,6.4.2 MCS Message Display,AGVS,,215,TS_1,,,,,WW00,160,WW00A0
WW00A1,AGVS,MCS Message # 71,ASCII,6.4.2 MCS Message Display,AGVS,,216,TS_1,,,,,WW00,161,WW00A1
WW00A2,AGVS,MCS Message # 72,ASCII,6.4.2 MCS Message Display,AGVS,,217,TS_1,,,,,WW00,162,WW00A2
WW00A3,AGVS,MCS Message # 73,ASCII,6.4.2 MCS Message Display,AGVS,,218,TS_1,,,,,WW00,163,WW00A3
WW00A4,AGVS,MCS Message # 74,ASCII,6.4.2 MCS Message Display,AGVS,,219,TS_1,,,,,WW00,164,WW00A4
WW00A5,AGVS,MCS Message # 75,ASCII,6.4.2 MCS Message Display,AGVS,,220,TS_1,,,,,WW00,165,WW00A5
WW00A6,AGVS,MCS Message # 76,ASCII,6.4.2 MCS Message Display,AGVS,,221,TS_1,,,,,WW00,166,WW00A6
WW00A7,AGVS,MCS Message # 77,ASCII,6.4.2 MCS Message Display,AGVS,,222,TS_1,,,,,WW00,167,WW00A7
WW00A8,AGVS,MCS Message # 78,ASCII,6.4.2 MCS Message Display,AGVS,,223,TS_1,,,,,WW00,168,WW00A8
WW00A9,AGVS,MCS Message # 79,ASCII,6.4.2 MCS Message Display,AGVS,,224,TS_1,,,,,WW00,169,WW00A9
WW00AA,AGVS,MCS Message # 80,ASCII,6.4.2 MCS Message Display,AGVS,,225,TS_1,,,,,WW00,170,WW00AA
