MemoY (Hex),Owner,Data Name,Data Format,Explanation,Device,Code_Property,Modbus_Register,,,,,,,,MemoY Type _ 1,MemoY Address,
Y007D,AGVS,,Boolean,,,,,,,,,,,,Y,125,Y7D
Y007E,AGVS,,Boolean,,,,,,,,,,,,Y,126,Y7E
Y007F,AGVS,,Boolean,,,,,,,,,,,,Y,127,Y7F
Y0080,AGVS,To EQ Up,Boolean,5.2.2 Status Download by AGVS,PORT1,To_EQ_Up,16,AOS_3,,,,,,,Y,128,Y80
Y0081,AGVS,To EQ Low,Boolean,5.2.2 Status Download by AGVS,PORT1,To_EQ_Low,17,AOS_3,,,,,,,Y,129,Y81
Y0082,AGVS,CMD reserve Up,Boolean,5.2.2 Status Download by AGVS,PORT1,CMD_reserve_Up,18,AOS_3,,,,,,,Y,130,Y82
Y0083,AGVS,CMD reserve Low,Boolean,5.2.2 Status Download by AGVS,PORT1,CMD_reserve_Low,19,AOS_3,,,,,,,Y,131,Y83
Y0084,AGVS,,Boolean,,,,,,,,,,,,Y,132,Y84
Y0085,AGVS,,Boolean,,,,,,,,,,,,Y,133,Y85
Y0086,AGVS,,Boolean,,,,,,,,,,,,Y,134,Y86
Y0087,AGVS,,Boolean,,,,,,,,,,,,Y,135,Y87
Y0088,AGVS,To EQ Up,Boolean,5.2.2 Status Download by AGVS,PORT2,To_EQ_Up,16,AOS_3,,,,,,,Y,136,Y88
Y0089,AGVS,To EQ Low,Boolean,5.2.2 Status Download by AGVS,PORT2,To_EQ_Low,17,AOS_3,,,,,,,Y,137,Y89
Y008A,AGVS,CMD reserve Up,Boolean,5.2.2 Status Download by AGVS,PORT2,CMD_reserve_Up,18,AOS_3,,,,,,,Y,138,Y8A
Y008B,AGVS,CMD reserve Low,Boolean,5.2.2 Status Download by AGVS,PORT2,CMD_reserve_Low,19,AOS_3,,,,,,,Y,139,Y8B
Y008C,AGVS,,Boolean,,,,,,,,,,,,Y,140,Y8C
Y008D,AGVS,,Boolean,,,,,,,,,,,,Y,141,Y8D
Y008E,AGVS,,Boolean,,,,,,,,,,,,Y,142,Y8E
Y008F,AGVS,,Boolean,,,,,,,,,,,,Y,143,Y8F
Y0090,AGVS,To EQ Up,Boolean,5.2.2 Status Download by AGVS,PORT1,To_EQ_Up,16,AOS_4,,,,,,,Y,144,Y90
Y0091,AGVS,To EQ Low,Boolean,5.2.2 Status Download by AGVS,PORT1,To_EQ_Low,17,AOS_4,,,,,,,Y,145,Y91
Y0092,AGVS,CMD reserve Up,Boolean,5.2.2 Status Download by AGVS,PORT1,CMD_reserve_Up,18,AOS_4,,,,,,,Y,146,Y92
Y0093,AGVS,CMD reserve Low,Boolean,5.2.2 Status Download by AGVS,PORT1,CMD_reserve_Low,19,AOS_4,,,,,,,Y,147,Y93
Y0094,AGVS,,Boolean,,,,,,,,,,,,Y,148,Y94
Y0095,AGVS,,Boolean,,,,,,,,,,,,Y,149,Y95
Y0096,AGVS,,Boolean,,,,,,,,,,,,Y,150,Y96
Y0097,AGVS,,Boolean,,,,,,,,,,,,Y,151,Y97
Y0098,AGVS,To EQ Up,Boolean,5.2.2 Status Download by AGVS,PORT2,To_EQ_Up,16,AOS_4,,,,,,,Y,152,Y98
Y0099,AGVS,To EQ Low,Boolean,5.2.2 Status Download by AGVS,PORT2,To_EQ_Low,17,AOS_4,,,,,,,Y,153,Y99
Y009A,AGVS,CMD reserve Up,Boolean,5.2.2 Status Download by AGVS,PORT2,CMD_reserve_Up,18,AOS_4,,,,,,,Y,154,Y9A
Y009B,AGVS,CMD reserve Low,Boolean,5.2.2 Status Download by AGVS,PORT2,CMD_reserve_Low,19,AOS_4,,,,,,,Y,155,Y9B
Y009C,AGVS,,Boolean,,,,,,,,,,,,Y,156,Y9C
Y009D,AGVS,,Boolean,,,,,,,,,,,,Y,157,Y9D
Y009E,AGVS,,Boolean,,,,,,,,,,,,Y,158,Y9E
Y009F,AGVS,,Boolean,,,,,,,,,,,,Y,159,Y9F
Y00A0,AGVS,,Boolean,,,,,,,,,,,,Y,160,YA0
Y00A1,AGVS,,Boolean,,,,,,,,,,,,Y,161,YA1
Y00A2,AGVS,,Boolean,,,,,,,,,,,,Y,162,YA2
Y00A3,AGVS,,Boolean,,,,,,,,,,,,Y,163,YA3
Y00A4,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,164,YA4
Y00A5,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,165,YA5
Y00A6,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,166,YA6
Y00A7,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,167,YA7
Y00A8,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,168,YA8
Y00A9,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,169,YA9
Y00AA,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,170,YAA
Y00AB,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,171,YAB
Y00AC,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,172,YAC
Y00AD,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,173,YAD
Y00AE,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,174,YAE
Y00AF,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,175,YAF
Y00B0,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,176,YB0
Y00B1,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,177,YB1
Y00B2,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,178,YB2
Y00B3,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,179,YB3
Y00B4,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,180,YB4
Y00B5,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,181,YB5
Y00B6,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,182,YB6
Y00B7,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,183,YB7
Y00B8,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,184,YB8
Y00B9,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,185,YB9
Y00BA,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,186,YBA
Y00BB,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,187,YBB
Y00BC,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,188,YBC
Y00BD,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,189,YBD
Y00BE,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,190,YBE
Y00BF,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,191,YBF
Y00C0,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,192,YC0
Y00C1,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,193,YC1
Y00C2,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,194,YC2
Y00C3,AGVS,,Boolean,,PORT1,,,,,,,,,,Y,195,YC3
